;PC Software:StarLab Version 2.11 Build 2
;Logged:21/10/2022 at 13:34:39
;File Version:3
;Graph Type:Line
;Notes:                                                            

;Channel A:Juno Photodiode PD300-1W (s/n:584133)  JN1.53 (s/n:3041014)
;Channel B:Nova II Photodiode PD300-1W (s/n:533500)  NN2.37 (s/n:517373)

;Channel A:Details
;Name:PD300-1W
;Graph Color:RGB(0,102,255)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:690
;Settings:Range:AUTO
;Settings:Filter:OUT

;Channel B:Details
;Name:PD300-1W
;Graph Color:RGB(154,0,0)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:690
;Settings:Range:AUTO
;Settings:Filter:OUT
;--------------------


;First Pulse Arrived : 21/10/2022 at 13:34:39.238000
  Timestamp   	  Channel A  	  Channel B  	
       190.659	  2.780e-004 	             	
       191.361	             	  1.672e-005 	
       191.659	  2.770e-004 	             	
       192.383	             	  1.680e-005 	
       192.659	  2.760e-004 	             	
       193.439	             	  1.688e-005 	
       193.659	  2.770e-004 	             	
       194.495	             	  1.694e-005 	
       194.659	  2.770e-004 	             	
       195.583	             	  1.707e-005 	
       195.659	  2.770e-004 	             	
       196.639	             	  1.719e-005 	
       196.659	  2.770e-004 	             	
       197.659	  2.780e-004 	             	
       197.695	             	  1.718e-005 	
       198.659	  2.770e-004 	             	
       198.751	             	  1.727e-005 	
       199.660	  2.770e-004 	             	
       199.776	             	  1.727e-005 	
       200.660	  2.780e-004 	             	
       200.831	             	  1.710e-005 	
       201.726	  2.770e-004 	             	
       201.887	             	  1.735e-005 	
       202.726	  2.780e-004 	             	
       202.911	             	  1.720e-005 	
       203.792	  2.780e-004 	             	
       203.967	             	  1.749e-005 	
       204.792	  2.780e-004 	             	
       205.023	             	  1.769e-005 	
       205.792	  2.770e-004 	             	
       206.047	             	  1.780e-005 	
       206.792	  2.770e-004 	             	
       207.103	             	  1.792e-005 	
       207.792	  2.770e-004 	             	
       208.159	             	  1.796e-005 	
       208.792	  2.780e-004 	             	
       209.247	             	  1.803e-005 	
       209.792	  2.770e-004 	             	
       210.303	             	  1.819e-005 	
       210.792	  2.760e-004 	             	
       211.359	             	  1.820e-005 	
       211.792	  2.760e-004 	             	
       212.415	             	  1.832e-005 	
       212.792	  2.760e-004 	             	
       213.439	             	  1.833e-005 	
       213.792	  2.760e-004 	             	
       214.495	             	  1.843e-005 	
       214.792	  2.760e-004 	             	
       215.551	             	  1.847e-005 	
       215.792	  2.750e-004 	             	
       216.575	             	  1.855e-005 	
       216.792	  2.750e-004 	             	
       217.631	             	  1.860e-005 	
       217.792	  2.750e-004 	             	
       218.687	             	  1.873e-005 	
       218.792	  2.750e-004 	             	
       219.711	             	  1.876e-005 	
       219.858	  2.750e-004 	             	
       220.767	             	  1.879e-005 	
       220.858	  2.750e-004 	             	
       221.823	             	  1.891e-005 	
       221.858	  2.750e-004 	             	
       222.858	  2.750e-004 	             	
       222.911	             	  1.892e-005 	
       223.858	  2.750e-004 	             	
       223.967	             	  1.881e-005 	
       224.858	  2.750e-004 	             	
       225.023	             	  1.902e-005 	
       225.858	  2.740e-004 	             	
       226.079	             	  1.916e-005 	
       226.858	  2.740e-004 	             	
       227.103	             	  1.915e-005 	
       227.858	  2.730e-004 	             	
       228.159	             	  1.925e-005 	
       228.858	  2.730e-004 	             	
       229.215	             	  1.932e-005 	
